Date,no,Snow_type,Trigger_type,Avalanche_size_m2,Avalanche_danger_level,Num_wet,Num_dry,Num_mixed,Num_unknown,Num_Natural,Num_Human,Num_Explosive,Num_Unknown_t
1999-02-09,80,unknown,NATURAL,6364.0,4.0,0,0,0,1,1,0,0,0
1999-02-10,81,dry,NATURAL,3589.0,4.0,0,1,0,0,1,0,0,0
1999-02-10,82,dry,NATURAL,2082.0,4.0,0,1,0,0,1,0,0,0
1999-02-10,83,dry,NATURAL,3201.0,4.0,0,1,0,0,1,0,0,0
1999-02-10,84,dry,NATURAL,4956.0,4.0,0,1,0,0,1,0,0,0
1999-02-11,85,unknown,NATURAL,3620.0,4.0,0,0,0,1,1,0,0,0
1999-02-11,86,dry,HUMAN,470.0,4.0,0,1,0,0,0,1,0,0
1999-02-11,87,dry,NATURAL,4623.0,4.0,0,1,0,0,1,0,0,0
1999-02-12,88,unknown,HUMAN,1227.0,4.0,0,0,0,1,0,1,0,0
1999-02-12,89,unknown,NATURAL,14208.0,4.0,0,0,0,1,1,0,0,0
1999-02-12,90,dry,NATURAL,3662.0,4.0,0,1,0,0,1,0,0,0
1999-02-12,91,unknown,NATURAL,9520.0,4.0,0,0,0,1,1,0,0,0
1999-02-12,92,dry,NATURAL,2587.0,4.0,0,1,0,0,1,0,0,0
1999-02-12,93,dry,NATURAL,5472.0,4.0,0,1,0,0,1,0,0,0
1999-02-12,94,dry,NATURAL,14201.0,4.0,0,1,0,0,1,0,0,0
1999-02-15,95,dry,NATURAL,1511.0,3.0,0,1,0,0,1,0,0,0
1999-02-15,96,dry,HUMAN,8150.0,3.0,0,1,0,0,0,1,0,0
1999-02-15,97,dry,HUMAN,26378.0,3.0,0,1,0,0,0,1,0,0
1999-02-18,98,dry,NATURAL,2854.0,3.0,0,1,0,0,1,0,0,0
1999-02-19,99,dry,NATURAL,1256.0,4.0,0,1,0,0,1,0,0,0
1999-02-19,100,unknown,NATURAL,2800.0,4.0,0,0,0,1,1,0,0,0
1999-02-19,101,dry,NATURAL,1623.0,4.0,0,1,0,0,1,0,0,0
1999-02-20,102,unknown,NATURAL,4048.0,4.0,0,0,0,1,1,0,0,0
1999-02-20,103,dry,NATURAL,5959.0,4.0,0,1,0,0,1,0,0,0
1999-02-20,104,dry,NATURAL,5684.0,4.0,0,1,0,0,1,0,0,0
1999-02-20,105,unknown,NATURAL,12915.0,4.0,0,0,0,1,1,0,0,0
1999-02-20,106,unknown,NATURAL,11925.0,4.0,0,0,0,1,1,0,0,0
1999-02-20,107,unknown,NATURAL,15438.0,4.0,0,0,0,1,1,0,0,0
1999-02-20,108,unknown,NATURAL,10321.0,4.0,0,0,0,1,1,0,0,0
1999-02-20,109,dry,NATURAL,6277.0,4.0,0,1,0,0,1,0,0,0
1999-02-20,112,unknown,NATURAL,3259.0,4.0,0,0,0,1,1,0,0,0
1999-02-21,113,unknown,NATURAL,9706.0,4.0,0,0,0,1,1,0,0,0
1999-02-21,114,unknown,NATURAL,11018.0,4.0,0,0,0,1,1,0,0,0
1999-02-22,115,unknown,UNKNOWN,120264.0,5.0,0,0,0,1,0,0,0,1
1999-02-22,116,unknown,NATURAL,2100.0,5.0,0,0,0,1,1,0,0,0
1999-02-22,117,unknown,NATURAL,8564.0,5.0,0,0,0,1,1,0,0,0
1999-02-22,118,dry,NATURAL,10969.0,5.0,0,1,0,0,1,0,0,0
1999-02-23,119,dry,NATURAL,4778.0,5.0,0,1,0,0,1,0,0,0
1999-02-23,120,unknown,NATURAL,5633.0,5.0,0,0,0,1,1,0,0,0
1999-02-23,121,unknown,NATURAL,2973.0,5.0,0,0,0,1,1,0,0,0
1999-02-23,122,unknown,NATURAL,3036.0,5.0,0,0,0,1,1,0,0,0
1999-02-25,123,wet,NATURAL,6867.0,3.0,1,0,0,0,1,0,0,0
1999-02-26,124,dry,NATURAL,2934.0,3.0,0,1,0,0,1,0,0,0
1999-03-01,125,unknown,NATURAL,6918.0,2.0,0,0,0,1,1,0,0,0
1999-03-01,126,unknown,NATURAL,9634.0,2.0,0,0,0,1,1,0,0,0
1999-03-07,127,unknown,UNKNOWN,15689.0,2.0,0,0,0,1,0,0,0,1
1999-03-10,128,wet,NATURAL,12559.0,3.0,1,0,0,0,1,0,0,0
1999-03-10,129,wet,NATURAL,13472.0,3.0,1,0,0,0,1,0,0,0
1999-03-10,130,wet,NATURAL,16573.0,3.0,1,0,0,0,1,0,0,0
1999-03-10,131,wet,NATURAL,5617.0,3.0,1,0,0,0,1,0,0,0
1999-03-10,132,wet,NATURAL,22236.0,3.0,1,0,0,0,1,0,0,0
1999-03-10,133,wet,NATURAL,2007.0,3.0,1,0,0,0,1,0,0,0
1999-03-10,134,dry,NATURAL,6978.0,3.0,0,1,0,0,1,0,0,0
1999-03-11,135,dry,NATURAL,8184.0,3.0,0,1,0,0,1,0,0,0
1999-03-11,136,dry,HUMAN,56610.0,3.0,0,1,0,0,0,1,0,0
1999-03-12,137,wet,NATURAL,17541.0,3.0,1,0,0,0,1,0,0,0
1999-03-12,138,wet,NATURAL,13458.0,3.0,1,0,0,0,1,0,0,0
1999-03-14,139,wet,NATURAL,25590.0,3.0,1,0,0,0,1,0,0,0
1999-03-16,140,wet,NATURAL,2544.0,3.0,1,0,0,0,1,0,0,0
1999-03-24,141,dry,HUMAN,297.0,2.0,0,1,0,0,0,1,0,0
1999-03-24,142,wet,NATURAL,654.0,2.0,1,0,0,0,1,0,0,0
1999-03-30,143,dry,HUMAN,639.0,2.0,0,1,0,0,0,1,0,0
1999-03-31,144,wet,NATURAL,6528.0,2.0,1,0,0,0,1,0,0,0
