Date,Snow_fall,Snow_fall_1,Snow10To25,SnowAbove25,Temp_min_1,TempBelow-7_5,Wind_max_3,WindAbove40,NewSnowProblem,Temp,Temp_mean_1,Temp_min,Temp_min_3,Temp_max,Wind,Wind_mean_1,Wind_max,Wind_max_1,Snow_height,RH,ISWR,OSWR,ILWR,OLWR,TSS
1999-08-04,0,0,False,False,6.100000000000023,False,12.168,False,0,9.197916666666686,7.356250000000025,5.800000000000011,4.7000000000000455,12.700000000000045,4.690499999999999,3.2295000000000003,10.224,5.796,0.0,0.7535208333333333,200.97291666666663,21.037499999999998,300.5291666666667,376.2020833333333,12.766666666666682
1999-08-05,0,0,False,False,5.800000000000011,False,11.052,False,0,10.00416666666669,9.197916666666686,7.900000000000034,4.800000000000011,12.700000000000045,4.25925,4.690499999999999,9.288,10.224,0.0,0.8288333333333333,204.27499999999998,21.47708333333333,329.6375,389.3291666666667,12.089583333333358
1999-08-06,0,0,False,False,7.900000000000034,False,10.224,False,0,11.000000000000023,10.00416666666669,8.5,5.800000000000011,13.800000000000011,6.186749999999999,4.25925,21.708000000000002,9.288,0.0,0.7758541666666666,165.45833333333331,17.69375,309.6354166666666,383.06874999999997,11.370833333333358
1999-08-07,0,0,False,False,8.5,False,21.708000000000002,False,0,9.543750000000022,11.000000000000023,6.2000000000000455,5.800000000000011,13.400000000000034,6.1972499999999995,6.186749999999999,13.5,21.708000000000002,0.0,0.8049999999999998,258.66041666666666,28.27083333333334,309.9541666666666,389.7583333333332,11.945833333333354
1999-08-08,0,0,False,False,6.2000000000000455,False,21.708000000000002,False,0,9.856250000000022,9.543750000000022,7.100000000000023,6.2000000000000455,12.400000000000034,9.286499999999998,6.1972499999999995,15.659999999999998,13.5,0.0,0.7247083333333331,142.73333333333338,14.908333333333331,318.4104166666666,374.2625,10.035416666666688
1999-08-09,0,0,False,False,7.100000000000023,False,21.708000000000002,False,0,11.537500000000023,9.856250000000022,9.600000000000023,6.2000000000000455,15.0,12.185249999999998,9.286499999999998,22.715999999999998,15.659999999999998,0.0,0.6582291666666665,273.75416666666666,30.858333333333334,314.14583333333337,394.0458333333332,12.550000000000024
1999-08-10,0,0,False,False,9.600000000000023,False,22.715999999999998,False,0,7.262500000000024,11.537500000000023,3.7000000000000455,6.2000000000000455,10.800000000000011,10.4625,12.185249999999998,27.503999999999998,22.715999999999998,0.0,0.8635624999999999,139.45416666666662,14.235416666666671,317.16249999999997,369.19166666666644,9.22708333333336
1999-08-11,0,0,False,False,3.7000000000000455,False,27.503999999999998,False,0,4.2479166666666925,7.262500000000024,3.2000000000000455,3.7000000000000455,5.400000000000034,10.80375,10.4625,19.98,27.503999999999998,0.0,0.9254583333333333,118.87708333333336,11.135416666666666,314.1479166666666,354.375,7.1833333333333576
1999-08-12,0,0,False,False,3.2000000000000455,False,27.503999999999998,False,0,4.00416666666669,4.2479166666666925,2.1000000000000227,3.2000000000000455,6.300000000000011,6.173249999999999,10.80375,18.576,19.98,0.0,0.9131875000000003,124.10416666666663,13.041666666666666,304.18750000000006,352.66875,6.700000000000021
1999-08-13,0,0,False,False,2.1000000000000227,False,27.503999999999998,False,0,2.3520833333333564,4.00416666666669,0.8000000000000114,2.1000000000000227,3.8000000000000114,10.023000000000001,6.173249999999999,27.900000000000002,18.576,0.0,0.8624583333333332,143.71875,14.491666666666667,292.48125,346.43333333333334,5.591666666666691
1999-08-14,0,0,False,False,0.8000000000000114,False,27.900000000000002,False,0,5.166666666666688,2.3520833333333564,2.1000000000000227,0.8000000000000114,7.800000000000011,6.871500000000001,10.023000000000001,17.532,27.900000000000002,0.0,0.7607916666666666,152.07916666666668,16.681250000000002,291.66458333333344,353.44583333333316,6.377083333333353
1999-08-15,0,0,False,False,2.1000000000000227,False,27.900000000000002,False,0,7.075000000000017,5.166666666666688,4.900000000000034,0.8000000000000114,10.300000000000011,7.181999999999999,6.871500000000001,17.928,17.532,0.0,0.8259374999999999,235.7145833333333,26.510416666666668,298.5208333333333,373.1708333333334,9.54375000000002
1999-08-16,0,0,False,False,4.900000000000034,False,27.900000000000002,False,0,6.410416666666691,7.075000000000017,3.5,0.8000000000000114,9.900000000000034,9.2835,7.181999999999999,20.808,17.928,0.0,0.8268541666666666,71.85416666666664,7.100000000000002,309.56041666666675,353.00208333333325,6.577083333333358
1999-08-17,0,0,False,False,3.5,False,20.808,False,0,4.954166666666691,6.410416666666691,3.2000000000000455,2.1000000000000227,6.900000000000034,3.8654999999999995,9.2835,7.488,20.808,0.0,0.934270833333333,175.15625,18.160416666666666,320.12499999999994,366.16249999999997,8.962500000000022
1999-08-18,0,0,False,False,3.2000000000000455,False,20.808,False,0,7.29791666666669,4.954166666666691,5.2000000000000455,3.2000000000000455,10.5,8.255999999999998,3.8654999999999995,14.652000000000001,7.488,0.0,0.7727500000000002,163.61458333333334,17.20625,317.57916666666677,365.37708333333336,8.483333333333357
1999-08-19,0,0,False,False,5.2000000000000455,False,20.808,False,0,8.089583333333353,7.29791666666669,4.900000000000034,3.2000000000000455,11.100000000000023,8.4255,8.255999999999998,16.236,14.652000000000001,0.0,0.8229583333333337,168.6875,17.604166666666668,315.33333333333337,368.99583333333334,9.17916666666669
1999-08-20,0,0,False,False,4.900000000000034,False,16.236,False,0,5.627083333333357,8.089583333333353,4.100000000000023,3.2000000000000455,8.0,7.094250000000003,8.4255,21.024,16.236,0.0,0.9862083333333329,48.03541666666667,3.472916666666666,342.12916666666666,354.7770833333334,7.222916666666691
